																																																																			
Income from indivduals from 2001 to 2021																																																																			
																																																																			
	2001			2002			2003			2004			2005			2006			2007			2008			2009				2010			2011			2012			2013			2014			2015			2016			2017			2018				2019			2020			2021				
taxable income	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Taxable Income	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)		Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)		
																												"bands to $300,000"																																							
																																																																			
"$26,001  - $27,000"	"40,420"	"1,071.5"	203.4	"40,670"	"1,077.5"	203.2	"40,840"	"1,081.9"	204.0	"40,180"	"1,064.6"	200.8	"38,850"	"1,029.3"	194.1	"40,820"	"1,081.2"	203.9	"40,520"	"1,074.1"	202.6	"40,970"	"1,085.1"	204.6	"36,940"	978.4	172.9	"$26,001  - $27,000"	"36,310"	962.6	151.4	"36,620"	970.4	139.7	"34,790"	921.3	119.2	"35,480"	940.0	122.1	"35,030"	928.0	119.8	"36,080"	955.8	123.9	"35,260"	934.2	121.1	"36,450"	965.9	125.3	"43,470"	"1,151.5"	151.1	"$26,001  - $27,000"	"45,290"	"1,199.8"	156.5	"55,760"	"1,476.4"	195.2	"54,190"	"1,435.0"	190.7		
"$27,001  - $28,000"	"38,200"	"1,050.7"	200.3	"39,900"	"1,097.7"	207.8	"39,020"	"1,072.5"	203.1	"39,670"	"1,090.8"	206.5	"38,810"	"1,066.9"	202.0	"38,980"	"1,072.1"	203.1	"39,690"	"1,091.8"	206.7	"38,590"	"1,061.8"	201.1	"39,240"	"1,079.0"	192.1	"$27,001  - $28,000"	"37,680"	"1,036.2"	165.6	"35,930"	988.0	143.0	"35,430"	974.7	127.7	"36,320"	998.3	130.8	"34,990"	962.4	126.1	"34,400"	946.0	123.6	"34,780"	956.6	125.2	"35,710"	982.0	128.8	"40,460"	"1,112.5"	147.2	"$27,001  - $28,000"	"42,820"	"1,177.2"	154.6	"47,120"	"1,295.3"	171.7	"44,420"	"1,221.1"	162.6		
"$28,001  - $29,000"	"41,020"	"1,168.4"	223.3	"38,680"	"1,102.6"	209.5	"41,610"	"1,185.7"	225.4	"39,960"	"1,138.9"	216.5	"40,070"	"1,141.7"	217.0	"39,160"	"1,115.5"	212.0	"39,580"	"1,128.0"	214.4	"39,840"	"1,135.1"	215.7	"38,660"	"1,102.2"	197.4	"$28,001  - $29,000"	"37,800"	"1,077.2"	172.8	"37,100"	"1,056.6"	154.6	"35,260"	"1,005.1"	133.2	"37,740"	"1,075.9"	142.6	"33,900"	966.3	127.7	"34,950"	995.7	131.7	"34,350"	979.1	129.5	"35,090"	999.9	132.2	"38,850"	"1,107.3"	147.7	"$28,001  - $29,000"	"39,500"	"1,125.7"	149.2	"42,940"	"1,223.8"	163.1	"40,140"	"1,143.7"	153.2		
"$29,001  - $30,000"	"38,560"	"1,137.6"	218.0	"41,610"	"1,228.0"	234.2	"40,300"	"1,189.2"	226.8	"41,680"	"1,230.1"	234.6	"42,410"	"1,251.4"	238.7	"39,150"	"1,155.1"	220.3	"41,960"	"1,237.7"	236.1	"42,230"	"1,246.2"	237.7	"41,240"	"1,217.0"	219.3	"$29,001  - $30,000"	"38,860"	"1,146.6"	185.9	"36,230"	"1,069.5"	158.2	"39,890"	"1,176.9"	156.8	"34,000"	"1,003.9"	134.2	"35,420"	"1,044.8"	139.3	"34,680"	"1,023.2"	136.5	"34,270"	"1,011.3"	135.0	"35,380"	"1,044.1"	139.5	"37,790"	"1,115.1"	150.0	"$29,001  - $30,000"	"38,230"	"1,127.9"	150.6	"41,000"	"1,209.4"	162.3	"37,730"	"1,113.1"	150.0		
"$30,001  - $31,000"	"38,210"	"1,165.6"	223.8	"39,280"	"1,198.2"	229.3	"39,990"	"1,219.4"	233.3	"39,800"	"1,213.9"	232.3	"40,910"	"1,247.4"	238.7	"40,390"	"1,232.5"	235.9	"38,960"	"1,188.0"	227.3	"40,250"	"1,227.4"	234.8	"39,670"	"1,209.8"	219.1	"$30,001  - $31,000"	"37,800"	"1,152.6"	188.5	"37,100"	"1,131.4"	168.5	"35,690"	"1,088.7"	146.3	"36,020"	"1,098.3"	147.8	"35,370"	"1,078.7"	145.4	"36,630"	"1,116.9"	150.3	"34,520"	"1,052.9"	141.7	"34,630"	"1,056.2"	142.2	"36,670"	"1,118.4"	151.5	"$30,001  - $31,000"	"37,290"	"1,137.1"	152.9	"38,550"	"1,175.6"	158.8	"37,080"	"1,130.8"	153.2		
"$31,001  - $32,000"	"38,120"	"1,200.9"	231.2	"37,460"	"1,180.1"	226.5	"37,700"	"1,187.2"	227.9	"38,230"	"1,204.7"	231.3	"39,960"	"1,259.2"	241.7	"40,530"	"1,276.7"	245.1	"37,850"	"1,192.5"	228.9	"40,660"	"1,280.5"	245.8	"41,050"	"1,292.8"	235.3	"$31,001  - $32,000"	"40,380"	"1,272.3"	209.2	"37,570"	"1,183.7"	177.5	"35,920"	"1,131.4"	154.1	"35,690"	"1,123.6"	152.4	"34,600"	"1,089.5"	147.4	"34,590"	"1,089.8"	147.6	"34,890"	"1,099.0"	149.1	"35,670"	"1,123.6"	152.7	"36,280"	"1,142.9"	156.0	"$31,001  - $32,000"	"36,330"	"1,144.1"	154.9	"36,640"	"1,154.1"	156.9	"36,580"	"1,152.0"	157.1		
"$32,001  - $33,000"	"37,900"	"1,231.5"	237.6	"37,720"	"1,226.2"	236.0	"36,520"	"1,187.4"	228.6	"38,510"	"1,252.0"	241.0	"40,260"	"1,308.7"	251.9	"41,730"	"1,356.1"	261.0	"40,820"	"1,326.7"	255.4	"40,840"	"1,327.1"	255.5	"38,240"	"1,242.4"	227.2	"$32,001  - $33,000"	"37,100"	"1,205.8"	199.9	"37,280"	"1,211.7"	183.5	"35,080"	"1,139.8"	156.0	"36,940"	"1,200.7"	163.8	"35,680"	"1,159.8"	158.1	"34,600"	"1,124.7"	153.7	"34,470"	"1,120.4"	153.1	"35,490"	"1,153.6"	157.7	"36,590"	"1,189.4"	163.3	"$32,001  - $33,000"	"36,080"	"1,172.6"	159.9	"36,080"	"1,172.5"	160.4	"34,390"	"1,117.7"	153.5		
"$33,001  - $34,000"	"37,580"	"1,259.7"	243.6	"37,430"	"1,253.5"	241.9	"39,950"	"1,338.5"	258.3	"38,380"	"1,286.1"	248.2	"38,930"	"1,303.9"	251.7	"40,010"	"1,340.7"	258.8	"41,790"	"1,400.2"	270.3	"38,920"	"1,303.6"	251.6	"39,230"	"1,314.0"	241.4	"$33,001  - $34,000"	"36,270"	"1,215.0"	203.3	"37,090"	"1,242.6"	188.9	"35,630"	"1,194.0"	164.5	"34,650"	"1,161.1"	159.8	"34,850"	"1,167.7"	160.4	"35,270"	"1,181.2"	162.7	"34,770"	"1,164.9"	160.4	"35,430"	"1,187.2"	163.7	"36,380"	"1,218.9"	168.4	"$33,001  - $34,000"	"35,490"	"1,188.9"	163.0	"35,150"	"1,177.8"	162.2	"34,170"	"1,144.6"	158.2		
"$34,001  - $35,000"	"34,940"	"1,205.7"	233.6	"38,180"	"1,317.4"	254.9	"37,700"	"1,300.8"	251.7	"36,760"	"1,268.9"	245.5	"38,470"	"1,327.7"	256.9	"40,320"	"1,392.0"	269.4	"39,880"	"1,376.1"	266.3	"41,010"	"1,415.8"	274.0	"40,730"	"1,405.7"	259.4	"$34,001  - $35,000"	"36,910"	"1,273.5"	214.7	"37,140"	"1,281.0"	196.4	"35,830"	"1,236.2"	171.8	"36,070"	"1,244.4"	172.2	"35,520"	"1,225.6"	169.1	"34,740"	"1,198.6"	165.9	"35,160"	"1,213.3"	168.3	"35,930"	"1,239.9"	171.9	"36,890"	"1,272.8"	176.9	"$34,001  - $35,000"	"35,800"	"1,235.1"	170.4	"34,660"	"1,195.6"	165.6	"33,490"	"1,155.4"	160.5		
"$35,001  - $36,000"	"34,760"	"1,233.6"	239.4	"33,900"	"1,204.0"	233.5	"38,880"	"1,380.6"	267.8	"38,920"	"1,381.6"	268.0	"39,130"	"1,389.3"	269.5	"40,490"	"1,437.4"	278.8	"40,280"	"1,429.8"	277.3	"40,060"	"1,422.0"	275.8	"38,470"	"1,366.1"	253.0	"$35,001  - $36,000"	"37,060"	"1,315.7"	222.4	"38,650"	"1,372.3"	212.1	"36,130"	"1,281.7"	179.2	"36,220"	"1,285.5"	180.2	"34,790"	"1,234.8"	172.5	"34,070"	"1,209.3"	167.9	"35,340"	"1,254.6"	175.1	"36,200"	"1,285.0"	179.3	"36,790"	"1,306.2"	182.6	"$35,001  - $36,000"	"36,240"	"1,286.4"	178.4	"34,490"	"1,224.5"	170.4	"33,090"	"1,174.5"	164.0		
"$36,001  - $37,000"	"32,370"	"1,181.2"	229.7	"35,780"	"1,305.7"	253.8	"37,550"	"1,370.4"	266.4	"36,300"	"1,325.3"	257.6	"38,130"	"1,392.3"	270.7	"39,850"	"1,454.7"	282.8	"39,620"	"1,446.3"	281.1	"40,510"	"1,478.5"	287.4	"39,000"	"1,423.8"	264.7	"$36,001  - $37,000"	"36,050"	"1,315.6"	224.3	"36,700"	"1,339.4"	208.6	"35,810"	"1,306.8"	184.2	"33,690"	"1,229.3"	172.7	"35,790"	"1,306.3"	182.7	"36,300"	"1,325.0"	185.5	"35,160"	"1,283.5"	180.3	"35,870"	"1,309.3"	183.8	"36,510"	"1,332.7"	187.4	"$36,001  - $37,000"	"36,360"	"1,327.0"	185.0	"35,100"	"1,281.4"	179.1	"33,470"	"1,221.7"	171.4		
"$37,001  - $38,000"	"38,000"	"1,427.7"	278.0	"40,940"	"1,538.1"	299.6	"43,000"	"1,614.9"	314.6	"45,670"	"1,715.7"	334.3	"49,060"	"1,842.8"	359.0	"47,760"	"1,795.1"	349.7	"47,720"	"1,793.0"	349.3	"51,350"	"1,929.9"	376.0	"42,340"	"1,588.9"	296.4	"$37,001  - $38,000"	"38,130"	"1,429.8"	246.1	"35,470"	"1,330.1"	207.9	"38,460"	"1,442.2"	203.8	"36,150"	"1,355.6"	191.8	"37,280"	"1,397.3"	197.1	"35,270"	"1,322.7"	186.3	"35,240"	"1,321.6"	186.7	"36,240"	"1,359.3"	192.0	"37,260"	"1,397.4"	197.7	"$37,001  - $38,000"	"36,500"	"1,368.7"	191.8	"35,200"	"1,320.2"	185.3	"33,240"	"1,246.3"	175.7		
"$38,001  - $39,000"	"33,660"	"1,294.8"	254.6	"37,550"	"1,444.7"	284.1	"38,230"	"1,471.0"	289.3	"39,420"	"1,516.7"	298.3	"42,920"	"1,650.8"	324.6	"42,960"	"1,652.3"	324.8	"44,670"	"1,718.3"	337.9	"47,180"	"1,815.6"	357.1	"40,200"	"1,547.7"	290.8	"$38,001  - $39,000"	"37,550"	"1,445.6"	249.5	"37,260"	"1,434.9"	225.7	"32,170"	"1,238.8"	176.0	"36,490"	"1,405.1"	199.1	"36,730"	"1,414.2"	200.8	"34,550"	"1,330.0"	188.8	"35,170"	"1,353.8"	192.4	"36,320"	"1,398.2"	198.6	"37,050"	"1,426.5"	202.8	"$38,001  - $39,000"	"36,510"	"1,405.5"	198.1	"35,430"	"1,364.2"	192.5	"33,290"	"1,281.6"	181.6		
"$39,001 -  $40,000"	"30,810"	"1,217.5"	243.7	"31,270"	"1,235.4"	247.2	"31,990"	"1,264.3"	253.1	"37,440"	"1,479.2"	296.1	"36,820"	"1,455.5"	291.4	"38,090"	"1,504.3"	301.0	"40,020"	"1,581.1"	316.5	"40,150"	"1,586.2"	317.5	"46,700"	"1,847.5"	351.2	"$39,001 -  $40,000"	"39,630"	"1,566.4"	271.8	"37,670"	"1,488.9"	235.7	"37,770"	"1,492.2"	213.5	"35,670"	"1,410.0"	201.7	"36,150"	"1,427.4"	204.2	"37,350"	"1,475.5"	210.4	"35,810"	"1,414.8"	202.0	"36,710"	"1,450.3"	207.1	"37,670"	"1,488.4"	212.7	"$39,001 -  $40,000"	"37,140"	"1,467.3"	207.9	"36,100"	"1,426.4"	202.4	"34,680"	"1,370.2"	195.1		
"$40,001  - $41,000"	"26,380"	"1,068.0"	217.1	"28,290"	"1,145.4"	232.9	"31,280"	"1,267.0"	257.6	"33,180"	"1,344.0"	273.3	"36,230"	"1,467.3"	298.4	"36,270"	"1,468.1"	298.4	"38,380"	"1,554.0"	315.9	"36,560"	"1,480.7"	301.1	"41,100"	"1,663.8"	320.5	"$40,001  - $41,000"	"37,800"	"1,531.3"	267.1	"35,260"	"1,427.3"	226.9	"33,890"	"1,373.3"	197.4	"33,380"	"1,351.7"	194.0	"34,420"	"1,394.5"	200.4	"37,060"	"1,501.3"	215.3	"35,440"	"1,435.3"	206.0	"36,490"	"1,477.9"	212.0	"37,200"	"1,506.5"	216.3	"$40,001  - $41,000"	"37,080"	"1,501.6"	213.8	"36,350"	"1,472.1"	209.7	"35,390"	"1,433.2"	204.7		
"$41,001  - $42,000"	"24,990"	"1,036.6"	213.9	"28,910"	"1,199.8"	247.6	"31,290"	"1,298.4"	267.9	"30,200"	"1,253.1"	258.6	"32,170"	"1,335.2"	275.6	"33,780"	"1,401.8"	289.3	"36,620"	"1,519.4"	313.5	"35,940"	"1,491.4"	307.8	"35,960"	"1,492.5"	292.6	"$41,001  - $42,000"	"34,990"	"1,452.4"	254.8	"35,580"	"1,477.3"	236.3	"34,930"	"1,449.5"	209.4	"35,430"	"1,470.2"	212.7	"34,000"	"1,410.7"	203.7	"38,860"	"1,613.0"	232.6	"35,170"	"1,459.7"	210.8	"36,060"	"1,496.9"	215.9	"37,530"	"1,557.8"	224.9	"$41,001  - $42,000"	"37,180"	"1,543.3"	220.6	"36,870"	"1,530.1"	218.9	"35,950"	"1,492.2"	214.1		
"$42,001  - $43,000"	"24,330"	"1,033.8"	216.3	"25,460"	"1,081.7"	226.4	"26,390"	"1,121.7"	234.8	"30,160"	"1,282.2"	268.4	"29,310"	"1,245.3"	260.6	"32,660"	"1,388.1"	290.5	"32,760"	"1,392.2"	291.4	"36,550"	"1,553.7"	325.2	"37,010"	"1,572.4"	313.1	"$42,001  - $43,000"	"34,960"	"1,485.7"	261.4	"33,620"	"1,428.5"	229.9	"36,220"	"1,539.3"	223.5	"34,780"	"1,478.4"	214.7	"35,700"	"1,516.9"	219.8	"35,630"	"1,514.2"	219.4	"35,170"	"1,494.8"	216.7	"35,850"	"1,523.7"	220.8	"37,150"	"1,578.7"	228.9	"$42,001  - $43,000"	"37,090"	"1,576.4"	226.5	"36,570"	"1,554.2"	223.5	"36,130"	"1,535.6"	221.3		
"$43,001  - $44,000"	"21,760"	946.2	200.6	"23,180"	"1,008.2"	213.8	"25,430"	"1,106.4"	234.7	"27,490"	"1,195.7"	253.6	"29,150"	"1,267.9"	268.9	"31,090"	"1,352.1"	286.7	"31,430"	"1,367.0"	289.9	"34,580"	"1,504.6"	319.1	"35,100"	"1,527.0"	308.7	"$43,001  - $44,000"	"35,710"	"1,554.1"	275.8	"35,680"	"1,552.8"	250.3	"35,210"	"1,532.4"	224.0	"34,650"	"1,508.3"	219.4	"35,300"	"1,536.0"	223.6	"35,330"	"1,537.2"	223.2	"35,750"	"1,555.7"	226.4	"36,680"	"1,596.2"	232.1	"38,260"	"1,664.6"	242.1	"$43,001  - $44,000"	"38,550"	"1,677.3"	242.0	"38,200"	"1,662.1"	239.9	"37,050"	"1,612.0"	233.2		
"$44,001  - $45,000"	"20,740"	923.2	198.2	"22,840"	"1,016.6"	218.3	"23,810"	"1,060.0"	227.6	"26,010"	"1,157.4"	248.5	"28,630"	"1,273.9"	273.5	"29,930"	"1,332.4"	286.2	"32,930"	"1,466.0"	314.8	"32,620"	"1,452.2"	311.9	"34,010"	"1,514.1"	310.6	"$44,001  - $45,000"	"33,730"	"1,501.8"	268.4	"35,310"	"1,572.1"	256.2	"32,490"	"1,446.0"	212.9	"32,740"	"1,456.5"	214.5	"34,200"	"1,522.0"	223.6	"34,380"	"1,529.4"	224.8	"35,580"	"1,583.7"	232.9	"36,480"	"1,623.7"	238.7	"38,010"	"1,691.9"	248.8	"$44,001  - $45,000"	"38,030"	"1,692.7"	247.1	"37,940"	"1,688.3"	246.4	"37,360"	"1,662.6"	243.2		
"$45,001  - $46,000"	"21,260"	966.9	210.0	"20,970"	954.3	207.3	"23,890"	"1,086.7"	236.1	"24,960"	"1,136.1"	246.9	"29,100"	"1,323.8"	287.6	"29,530"	"1,344.3"	292.1	"29,770"	"1,354.5"	294.3	"32,130"	"1,461.5"	317.5	"33,110"	"1,506.9"	313.2	"$45,001  - $46,000"	"32,050"	"1,458.4"	263.0	"33,430"	"1,521.8"	251.2	"31,800"	"1,447.0"	216.3	"33,470"	"1,523.0"	227.5	"33,350"	"1,517.6"	226.5	"37,390"	"1,702.1"	253.9	"34,780"	"1,582.8"	236.4	"35,780"	"1,628.2"	243.1	"37,100"	"1,688.0"	252.3	"$45,001  - $46,000"	"37,950"	"1,726.6"	256.5	"37,290"	"1,696.7"	252.1	"37,530"	"1,707.7"	254.0		
"$46,001  - $47,000"	"18,260"	849.1	186.5	"19,900"	925.3	203.2	"21,050"	979.0	215.1	"24,540"	"1,140.7"	250.6	"27,560"	"1,281.0"	281.3	"27,060"	"1,257.9"	276.3	"28,480"	"1,324.1"	290.9	"31,390"	"1,459.8"	320.7	"31,610"	"1,469.8"	309.3	"$46,001  - $47,000"	"31,270"	"1,454.0"	265.0	"32,530"	"1,513.1"	252.3	"30,780"	"1,431.1"	216.6	"32,200"	"1,497.6"	226.6	"31,890"	"1,483.0"	224.2	"35,350"	"1,644.1"	248.5	"34,330"	"1,596.4"	241.9	"35,510"	"1,651.6"	250.2	"36,850"	"1,713.8"	259.8	"$46,001  - $47,000"	"37,910"	"1,762.9"	266.3	"37,740"	"1,755.0"	265.1	"37,910"	"1,762.9"	266.5		
"$47,001  - $48,000"	"16,370"	777.8	172.7	"19,430"	923.3	205.0	"21,400"	"1,016.3"	225.6	"22,470"	"1,067.2"	236.9	"21,960"	"1,043.5"	231.7	"27,510"	"1,306.5"	290.0	"28,410"	"1,349.7"	299.7	"30,750"	"1,461.2"	324.4	"30,840"	"1,465.3"	312.1	"$47,001  - $48,000"	"39,500"	"1,879.1"	345.9	"36,170"	"1,721.0"	290.4	"40,230"	"1,913.3"	293.4	"36,430"	"1,732.9"	265.7	"39,160"	"1,862.9"	285.6	"40,680"	"1,935.4"	296.8	"40,790"	"1,940.0"	297.9	"42,620"	"2,027.6"	311.3	"44,430"	"2,113.8"	325.1	"$47,001  - $48,000"	"45,050"	"2,142.7"	329.1	"45,540"	"2,166.1"	332.5	"44,770"	"2,129.1"	327.0		
"$48,001  - $49,000"	"15,940"	772.9	173.3	"17,160"	832.2	186.6	"18,780"	910.3	204.1	"21,670"	"1,051.0"	235.7	"23,100"	"1,120.2"	251.2	"25,570"	"1,240.1"	278.1	"28,220"	"1,368.9"	307.0	"27,980"	"1,356.9"	304.2	"28,840"	"1,399.1"	301.4	"$48,001  - $49,000"	"34,170"	"1,656.0"	308.4	"30,970"	"1,501.8"	256.7	"33,720"	"1,635.1"	254.4	"33,940"	"1,645.5"	256.0	"32,470"	"1,574.4"	244.9	"33,570"	"1,628.0"	253.5	"35,730"	"1,732.2"	269.8	"37,150"	"1,801.0"	280.7	"37,990"	"1,842.1"	287.4	"$48,001  - $49,000"	"39,370"	"1,908.6"	297.8	"40,390"	"1,958.0"	305.5	"40,480"	"1,962.3"	306.1		
"$49,001  - $50,000"	"14,400"	713.0	161.4	"17,820"	882.6	199.9	"18,880"	934.6	211.6	"19,610"	970.9	219.8	"23,330"	"1,155.3"	261.6	"24,950"	"1,235.5"	279.7	"26,960"	"1,335.0"	302.2	"27,480"	"1,360.6"	308.0	"30,240"	"1,498.0"	326.2	"$49,001  - $50,000"	"30,710"	"1,520.6"	288.1	"29,940"	"1,482.1"	258.0	"31,700"	"1,569.5"	249.3	"31,850"	"1,577.4"	250.3	"34,150"	"1,690.6"	268.1	"32,840"	"1,626.9"	258.4	"33,600"	"1,663.6"	264.1	"34,790"	"1,722.5"	273.4	"36,360"	"1,800.5"	286.3	"$49,001  - $50,000"	"37,250"	"1,844.1"	293.2	"37,690"	"1,866.2"	296.7	"38,380"	"1,899.9"	302.1		
"$50,000  - $51,000"	"15,190"	766.6	175.0	"16,380"	827.0	188.9	"16,820"	849.5	194.1	"20,650"	"1,042.9"	238.2	"21,070"	"1,064.1"	243.0	"22,810"	"1,152.3"	263.3	"24,760"	"1,250.5"	285.6	"26,550"	"1,341.2"	306.4	"27,600"	"1,393.6"	306.4	"$50,000  - $51,000"	"29,010"	"1,464.6"	281.6	"29,610"	"1,495.2"	264.5	"29,190"	"1,474.3"	238.2	"28,270"	"1,427.5"	230.6	"30,440"	"1,537.3"	248.4	"31,550"	"1,592.8"	257.2	"32,610"	"1,647.1"	265.9	"33,330"	"1,683.0"	271.8	"35,170"	"1,776.0"	287.3	"$50,000  - $51,000"	"36,020"	"1,819.0"	294.3	"37,170"	"1,877.0"	303.6	"37,980"	"1,917.5"	310.2		
"$51,001  - $52,000"	"13,260"	682.8	157.3	"15,630"	805.3	185.6	"18,380"	946.5	218.1	"18,600"	958.1	220.8	"19,400"	999.4	230.3	"21,940"	"1,130.3"	260.5	"23,750"	"1,223.6"	281.9	"24,640"	"1,268.9"	292.3	"26,020"	"1,340.2"	297.6	"$51,001  - $52,000"	"25,590"	"1,318.0"	257.0	"26,450"	"1,362.3"	244.7	"27,660"	"1,424.9"	234.2	"28,190"	"1,452.3"	238.7	"30,770"	"1,585.1"	260.5	"29,970"	"1,543.5"	253.6	"31,470"	"1,620.8"	266.0	"32,180"	"1,657.3"	272.1	"33,630"	"1,732.4"	285.0	"$51,001  - $52,000"	"35,680"	"1,837.9"	302.3	"36,120"	"1,860.6"	306.0	"36,900"	"1,900.2"	312.5		
"$52,001  - $53,000"	"14,680"	771.0	179.1	"15,890"	833.8	193.6	"16,170"	848.9	197.2	"17,730"	930.9	216.2	"18,230"	957.2	222.4	"20,520"	"1,077.6"	250.3	"22,160"	"1,163.5"	270.2	"23,850"	"1,252.1"	290.8	"24,310"	"1,276.6"	286.1	"$52,001  - $53,000"	"26,140"	"1,372.4"	271.2	"26,030"	"1,366.6"	249.1	"26,510"	"1,391.8"	232.4	"27,850"	"1,462.6"	244.3	"25,650"	"1,347.0"	225.0	"30,480"	"1,600.7"	267.3	"30,140"	"1,582.4"	263.8	"31,210"	"1,638.5"	273.1	"32,360"	"1,698.7"	283.7	"$52,001  - $53,000"	"33,910"	"1,779.9"	297.3	"35,920"	"1,885.5"	315.0	"36,620"	"1,922.4"	321.1		
"$53,001  - $54,000"	"13,500"	722.5	169.2	"15,190"	813.0	190.4	"15,590"	833.9	195.2	"16,100"	861.6	201.7	"18,690"	999.9	234.1	"20,740"	"1,109.5"	259.7	"21,210"	"1,134.4"	265.6	"23,890"	"1,278.2"	299.3	"25,340"	"1,355.6"	306.4	"$53,001  - $54,000"	"22,990"	"1,230.0"	246.1	"23,750"	"1,271.2"	234.9	"23,800"	"1,272.8"	215.7	"27,140"	"1,452.1"	246.1	"25,190"	"1,348.0"	228.5	"28,710"	"1,535.6"	260.2	"29,210"	"1,562.6"	264.4	"30,010"	"1,605.6"	271.6	"31,510"	"1,685.6"	285.7	"$53,001  - $54,000"	"33,100"	"1,770.7"	300.2	"35,060"	"1,875.5"	317.9	"35,910"	"1,920.9"	325.6		
"$54,001  - $55,000"	"12,400"	676.0	159.5	"13,340"	727.2	171.5	"15,260"	831.8	196.2	"14,970"	816.1	192.5	"18,810"	"1,025.7"	242.0	"19,750"	"1,076.5"	253.9	"19,650"	"1,070.8"	252.6	"23,670"	"1,290.6"	304.5	"22,860"	"1,246.2"	284.1	"$54,001  - $55,000"	"24,170"	"1,317.9"	266.9	"24,880"	"1,356.4"	253.9	"22,380"	"1,220.1"	209.8	"25,200"	"1,373.7"	236.1	"28,120"	"1,533.1"	263.6	"27,870"	"1,519.0"	261.1	"29,120"	"1,587.5"	272.4	"29,560"	"1,611.4"	276.4	"31,010"	"1,690.5"	290.7	"$54,001  - $55,000"	"32,710"	"1,783.0"	306.6	"34,170"	"1,862.2"	320.2	"35,740"	"1,947.6"	334.8		
"$55,001  - $56,000"	"12,410"	688.7	163.6	"12,930"	717.7	170.5	"14,590"	809.5	192.3	"15,110"	838.6	199.2	"17,170"	952.5	226.2	"18,140"	"1,007.2"	239.3	"20,540"	"1,140.2"	270.9	"21,060"	"1,168.9"	277.7	"21,960"	"1,218.4"	280.0	"$55,001  - $56,000"	"21,070"	"1,169.5"	239.5	"22,540"	"1,250.7"	237.0	"23,210"	"1,288.2"	224.4	"24,780"	"1,375.1"	239.5	"26,990"	"1,498.5"	261.1	"27,580"	"1,530.8"	266.7	"27,730"	"1,539.0"	267.5	"28,750"	"1,595.3"	277.2	"29,970"	"1,663.4"	289.8	"$55,001  - $56,000"	"31,810"	"1,765.2"	307.5	"33,900"	"1,881.4"	327.8	"35,280"	"1,957.8"	341.1		
"$56,001  - $57,000"	"11,680"	659.9	157.9	"11,300"	638.6	152.8	"12,770"	722.0	172.7	"14,950"	844.6	202.0	"15,720"	888.2	212.5	"17,190"	971.2	232.3	"19,810"	"1,119.0"	267.6	"21,980"	"1,241.8"	297.0	"22,110"	"1,249.5"	289.4	"$56,001  - $57,000"	"22,110"	"1,249.0"	258.5	"21,340"	"1,205.5"	231.1	"23,470"	"1,326.2"	234.0	"23,840"	"1,346.7"	237.6	"26,050"	"1,471.5"	259.6	"25,490"	"1,440.5"	254.2	"26,950"	"1,522.8"	268.1	"27,990"	"1,581.3"	278.3	"29,510"	"1,667.2"	294.2	"$56,001  - $57,000"	"30,930"	"1,747.2"	308.3	"32,870"	"1,857.3"	327.7	"34,340"	"1,939.9"	342.3		
"$57,001  - $58,000"	"10,650"	612.5	147.5	"11,620"	668.1	160.9	"11,870"	682.8	164.4	"15,400"	885.4	213.2	"17,550"	"1,008.9"	242.9	"17,140"	985.8	237.4	"18,830"	"1,083.0"	260.8	"21,320"	"1,226.1"	295.2	"22,720"	"1,306.6"	304.9	"$57,001  - $58,000"	"19,500"	"1,120.8"	234.3	"21,030"	"1,209.4"	234.5	"21,670"	"1,246.5"	222.7	"23,030"	"1,323.9"	236.4	"24,510"	"1,409.8"	251.8	"24,070"	"1,383.9"	247.1	"26,170"	"1,504.8"	268.0	"27,270"	"1,568.2"	279.5	"28,440"	"1,635.4"	292.1	"$57,001  - $58,000"	"29,960"	"1,722.7"	307.7	"31,880"	"1,833.1"	327.4	"33,330"	"1,916.6"	342.3		
